name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
843,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
844,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
845,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
846,eGon2035,52023,66048,rural_heat_store_charger,2.207318049925842,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,2.207318049925842,DE,inf,False,,,0.0,,,1.0,1.0
847,eGon2035,52023,66048,rural_heat_store_charger,0.47356822740748095,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.47356822740748095,DE,inf,False,,,0.0,,,1.0,1.0
848,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
849,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
850,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
851,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
852,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
853,eGon2035,52023,66048,rural_heat_store_charger,1.1234523968149048,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,1.1234523968149048,DE,inf,False,,,0.0,,,1.0,1.0
854,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
855,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
856,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
857,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
858,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
859,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.8400000000000001,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
860,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
861,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
862,eGon2035,52023,66048,rural_heat_store_charger,0.24182115457873005,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.24182115457873005,DE,inf,False,,,0.0,,,1.0,1.0
863,eGon2035,52023,66048,rural_heat_store_charger,1.0112705892064282,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,1.0112705892064282,DE,inf,False,,,0.0,,,1.0,1.0
864,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
865,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
866,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
867,eGon2035,52023,66048,rural_heat_store_charger,0.13618751398204051,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.13618751398204051,DE,inf,False,,,0.0,,,1.0,1.0
868,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
869,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
870,eGon2035,52023,66048,rural_heat_store_charger,1.2796061174395483,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,1.2796061174395483,DE,inf,False,,,0.0,,,1.0,1.0
