name,scn_name,bus,carrier,p_nom,p_min_pu,p_max_pu,marginal_cost,efficiency,committable,start_up_cost,min_up_time,min_down_time,up_time_before,ramp_limit_start_up,ramp_limit_shut_down,e_nom_max,control,ramp_limit_up,weight,p_nom_opt
11 solar,eGon2035,4,solar,404.16739002481,0.0,1.0,0.01653508510323802,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,404.16739002481,404.16739002481
11 solar_rooftop,eGon2035,4,solar_rooftop,1274.931173875569,0.0,0.9999999999999999,0.01874714285779627,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,1274.931173875569,1274.931173875569
11 wind_onshore,eGon2035,4,wind_onshore,355.96392814274,0.0,0.9999999999999999,1.3055437874187241,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,355.96392814274,355.96392814274
12 central_biomass_CHP,eGon2035,4,central_biomass_CHP,21.260934482497582,0.0,0.9999999999999999,42.10527431779164,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,21.260934482497582,21.260934482497582
12 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,1.610676854734665,0.0,1.0,42.11877291789804,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,1.610676854734665,1.610676854734665
12 load shedding,,4,load shedding,3018690.0,0.0,1.0,10000.008015150488,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,3018690.0,3018690.0
12 solar_rooftop,eGon2035,4,solar_rooftop,159.91801640964238,0.0,1.0,0.01872435462617884,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,159.91801640964238,159.91801640964238
13 biomass,eGon2035,4,biomass,2.416064599540828,0.0,0.9999999999999999,42.110554818620635,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,2.416064599540828,2.416064599540828
13 central_biomass_CHP,eGon2035,4,central_biomass_CHP,10.795598868006834,0.0,1.0000000000000002,42.10433604970275,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,10.795598868006834,10.795598868006834
13 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,31.659040090246158,0.0,0.9999999999999998,42.10663440097743,0.9999999999999998,False,0.0,0,0,0,1.0,1.0,inf,PV,,31.659040090246158,31.659040090246158
